Month,Year,Company,Location,State,Type of breach,Type of organization,Records Breached,Total Records,Description of incident,Information Source
December,2010,University of Wisconsin - Madison,Madison, Wisconsin,HACK,EDU,"60,000","60,000","Some records of people affiliated with UW Madison were hacked into.  The University discovered the breach on October 26 and sent notification to many former students, faculty and staff on November 30.  One of the files had the photo ID of former students with their Social Security numbers embedded in the ID numbers and cardholder names.  Only students enrolled prior to 2008 would have had their Social Security numbers exposed. It is unclear how far back the records date.",Databreaches.net
December,2010,Walgreens,Deerfield, Illinois,HACK,BSR,0,0,A hacker managed to obtain Walgreens' email marketing list.  People on the list were sent realistic-looking phishing emails that directed them to a web page under hacker control.  The only information that was stolen during the hack was the email list.  People who fell victim to the phishing scam may have entered other personal information into the phony web page.,Databreaches.net
November,2006,"TransUnion Credit Bureau, Kingman, AZ, court office",Chester, Pennsylvania,HACK,BSF,"1,700","1,700","Four different scam companies 
            downloaded the credit information of more than 1,700 individuals, 
            including their credit histories and SSNs. They were able to illegitimately 
            obtain the password to the TransUnion account held by the Kingman, 
            AZ, court office, which apparently has a subscription to the bureau's 
            services.",Dataloss DB
December,2010,Gawker,New York, New York,HACK,BSO,"1,300,000 (No SSNs or financial information reported)",0,"Hackers gained access to the Site's database.  Staff and user emails and passwords, the site code and staff messages were made accessible to anyone.  The group claiming responsibility calls themselves Gnosis.  Gawker encouraged users to change their passwords after their information was exposed.  This may also mean changing passwords for other sites where users have similar screen names and passwords.  Gnosis claims they had access to the site for a long time and exposed Gawker's information ""because of their outright arrogance.""",Databreaches.net
November,2006,"Bank of Jena, Experian",Jena, Louisiana,HACK,BSF,0,0,"An unauthorized user was able to access Experian consumer information through the Bank of Jena.  Names, Social Security numbers, addresses, dates of birth and account numbers could have been accessed.  At least 29 New York residents were affected, but the total number of residents affected nationwide was not revealed.",Dataloss DB
June,2010,New York City Department of Education,New York, New York,HACK,EDU,0,0,"The New York City’s Special Commissioner Office revealed a hacker stole more than $640,000 from the Department of Education’s petty cash account at JP Morgan Chase and distributed the codes to others to use to pay for student loans, gas bills and other purchases. The hacker allowed individuals to pay personal bills through EFTs and, in turn, he was given cash. The scam was discovered when an unidentified woman informed Chase someone was trying to pay bills using the account.",Dataloss DB
January,2007,Vermont Agency of Human Services,Waterbury, Vermont,HACK,GOV,"70,000","70,000","A state computer that contained the names, Social Security numbers and bank account information was hacked into.  Some of the information came from noncustodial parents who owed back child support while most of the people affected were customers of New England Federal Credit Union with no history of owing child support.  The information is from 2004 and 2005 credit union members.",Dataloss DB
January,2007,Public Storage Inc.,Glendale, California,HACK,BSO,0,0,"Someone gained unauthorized access to electronic company personnel files.  The files included Social Security numbers, dates of birth, home addresses and other active employee information.",Dataloss DB
February,2007,Merchant America,Camarillo, California,HACK,BSR,"130,000","130,000","A hacker gained access to a customer database.  Customers who made transactions with merchants that Merchant America provides payment processing services to may have had their names, bank account numbers and driver's license numbers exposed.",Dataloss DB
February,2007,Brunswick Corp.,Lake Forrest, Illinois,HACK,BSR,"5,100","5,100","An unauthorized person obtained access to employee information stored on Brunswick's computer systems.  Names, Social Security numbers and addresses may have been exposed during the April incident.",Dataloss DB
December,2010,"deviantART, Silverpop Systems Inc.",Hollywood, California,HACK,BSO,"13,000,000 (No SSNs or financial information exposed)",0,"Mirroring the Gawker an McDonald's breaches earlier this month, hackers exposed the email addresses, user names and birth dates of the entire deviantART user database.  Hackers were able to breach deviantART's marketing company Silverpop Systems Inc. Passwords and sensitive information were not exposed, but the breach is expected to increase spam for registered users.",Databreaches.net
December,2010,"Twin America LLC, CitySights NY",New York, New York,HACK,BSO,"110,000","110,000","On or around October 25 a web programmer discovered that malicious script had been placed on the server.  The script appears to have been uploaded on September 26 and had allowed access to the customer database multiple times between that date and October 19.  Customer names, credit card numbers, credit card expiration dates, CVV2 data, addresses and email addresses may have been exposed.",Databreaches.net
February,2007,First Advantage SBS,Saint Petersburg, Florida,HACK,BSO,0,0,"Subscriber user-IDs and passwords were compromised.  Unauthorized individuals may have accessed names, Social Security numbers, addresses and other information related to employment credit reports.  At least 11 New York residents were affected by this breach, but the total number of affected individuals nationwide was not revealed.",Dataloss DB
March,2007,Right Media Inc.,New York, New York,HACK,BSO,34,34,"An unauthorized person or persons accessed the computer system.  Customer names, Social Security numbers, email addresses, addresses and employee ID numbers may have been accessed.  ",Dataloss DB
March,2007,Eastern Suffolk BOCES,Patchogue, New York,HACK,GOV,"1,500","1,500","A file server in the Eastern Suffolk BOCES computer area was hacked.  Data from the Free and Reduced Lunch Database was compromised.  The names of parents and children, Social Security numbers, addresses, home and work phone numbers, salary information and income information that were related to the program may have been accessed.",Dataloss DB
March,2007,Laser Pros International Corp,Rhinelander, Wisconsin,HACK,BSO,434,434,"Someone gained access to transaction data from the Laser Pros website.  Customer names, addresses, email addresses, credit card numbers and security codes for credit cards may have been accessed.  Some customers reported fraudulent charges.  The total number of credit cards accessed was 434, though customers may have had multiple credit cards.",Dataloss DB
April,2007,Valve Software,Bellevue, Washington,HACK,BSR,0,0,"A hacker accessed customer information that was stored on the website.  Thousands of customers had their information exposed, and the hacker posted some customer credit card information.  The hacker claims to have gained access by utilizing login details that were easily found by browsing.  Valve asset information was also exposed.",Dataloss DB
May,2007,Mountain Xpress (Greenline Media Inc.),Asheville, North Carolina,HACK,BSO,"6,540","6,540",Someone launched a dictionary attack on the email server.  The hacker obtained a user name and password that allowed access to an internal database that stored credit card numbers.,Dataloss DB
May,2007,"Student Loan Funding Resources, The Art Institute of California",San Diego, California,HACK,BSF,0,0,A breach on the Student Loan Funding's eCounselor website may have exposed names and Social Security numbers.,Dataloss DB
May,2007,Carus Publishing Company,Petersborough, New Hampshire,HACK,BSO,0,0,"Hackers obtained access to customer information located on the Company's website.  The breach occurred sometime between April and May.  Customer names, addresses, credit card numbers and types of credit cards were downloaded by the hackers.",Dataloss DB
May,2007,Arteis,Palo Alto, California,HACK,BSO,0,0,"In January, Arteis discovered that an unauthorized person had accessed certain files.  Customer names, addresses and credit card numbers may have been exposed.",Dataloss DB
June,2007,vFinance Investments Inc.,Boca Raton, Florida,HACK,BSF,"29,000","29,000",A database that contained customer information was accessed through the www.vfinance.com website by an unauthorized person.  The goal of the attack seems to have been to deface the website.  ,Dataloss DB
July,2007,Intergraph Corporation,Huntsville, Alabama,HACK,BSR,0,0,"Confidential information about some transactions was accessed without authority by an unknown person or persons via the Internet.  The information may have included name, address, and credit or debit card number and expiration date, in addition to shipping address and in some cases, a separate credit card address.",Dataloss DB
December,2010,Hospital Auxilio Mutuo,Hato Ray, Puerto Rico,HACK,MED,"1,000 (No SSNs or financial information reported)",0,"The Hospital experienced a breach of one or more computers on or around November 19.  The exact nature of the breach was not reported and could have been theft, unauthorized access, hacking, or an IT incident.",HHS via PHIPrivacy.net
July,2008,Saint Mary's Regional Medical Center,Reno, Nevada,HACK,MED,"128,000","128,000","An unauthorized person may have accessed 
          the St. Mary's database. The database, used for Saint Mary's health 
          education classes and wellness programs, contained personal information 
          such as names and addresses, limited health information and some Social 
          Security numbers. The database did not contain medical records or credit 
          card information.",Dataloss DB
December,2010,"Digital River Inc., SWReg Inc.",Houston, Texas,HACK,BSR,0,0,A hacker accessed the SWReg computer system.  The SWReg system is used by Digital Rivers to pay contractors.  The system was altered to transfer money to the hacker's bank account instead of the accounts of contractors.  The hacker faces 20 years on wire fraud charges and 10 years on computer hacking charges.,Databreaches.net
August,2007,Option One Mortgage,Irvine, California,HACK,BSF,"10,000","10,000","A computer server that contained customer service information was hacked.  People who visited the customer service website between August 9 and 14 may have had their names, Social Security numbers, addresses, phone numbers, loan information and payment histories exposed.  The hacker was able to change the website so that a virus was installed on the computers of visitors.  ",Dataloss DB
August,2007,AW Direct Inc.,Berlin, Connecticut,HACK,BSR,0,0,"An unauthorized person accessed AW Direct's website.  Customer order information that included full names, addresses and credit card information was exposed.",Dataloss DB
August,2007,Voxant,Reston, Virginia,HACK,BSO,"4,500","4,500",A hacker accessed the website and obtained personal information of customers.,Dataloss DB
August,2007,Penson Worldwide,Dallas, Texas,HACK,BSF,11,11,"A person or persons breached Penson's computer network security systems on July 30.  User logins, passwords, email addresses, security questions and answers were compromised.",Dataloss DB
September,2007,Hartford Life Insurance Company,Simsbury Center, Connecticut,HACK,BSF,526,526,"Activity from a third party was detected on the website.  It is likely that the third party used customer Social Security numbers, dates of birth and annuity contract numbers to access the website.  The third party may have been able to reset customer PINs and access customer accounts with this information.",Dataloss DB
July,2006,Merlin Information Services,Kalispell, Montana,HACK,BSO,"3,957","3,957","The login information for a qualified customer was compromised.  This resulted in the possible exposure of customer names, addresses and Social Security numbers.",Dataloss DB
September,2007,Merlin Information Services,Kalispell, Montana,HACK,BSO,"2,297","2,297","The login information of a legitimate customer was compromised and an unauthorized individual may have accessed names, Social Security numbers and addresses of certain persons.",Dataloss DB
October,2007,Scarborough & Tweed,Pleasantville, New York,HACK,BSR,570,570,"The Company became aware of suspicious activity on a web server.  Someone may have attempted to access the system through use of an SQL injection and could have obtained personal information of customers.  Customer names, addresses, phone numbers, account numbers and credit card numbers may have been exposed.",Dataloss DB
October,2007,Track Data Securities Corp.,New York, New York,HACK,BSF,276,276,"Track Data learned that the security of its computer system was compromised.  Customer names,  Social Security numbers, addresses and credit card numbers may have been illegally accessed.  At least 276 New Hampshire residents were affected, but the total number of affected customers nationwide was not reported.",Dataloss DB
October,2007,LPL Financial,San Diego, California,HACK,BSF,40,40,"Unauthorized individuals accessed LPL's trading and operation system data by obtaining passwords of eight financial advisors.  LPL discovered the breach on July 17 and immediately informed law enforcement officials.  It appears that the purchases were made to increase the volume of trading and affect prices of certain stocks.  The trades were rejected once it was determined that they were fraudulent.  Client names, Social Security numbers, dates of birth, addresses, phone numbers and account numbers may have been exposed.",Dataloss DB
October,2007,"First Banks Inc, iWire Inc",Jericho, New York,HACK,BSF,"5,234","5,234",iWire's Payroll Passport/IC Settlement database was breached on September 29.  A database of cardholder account records was accessed.  It contained Social Security numbers.,Dataloss DB
November,2007,Kimscrafts,Topsham, Maine,HACK,BSR,"4,500","4,500","KimsCrafts' on-line ordering system experienced a security breach or security breaches between August 13 and October 1.  Customers who placed orders anytime on or after June 25, 2001 may have had their names, addresses and credit card numbers accessed.  It is not clear whether the breach occurred because of an unauthorized user or because of an employee or contractor mistake.",Dataloss DB
November,2010,Desert Rose Resort,Las Vegas, Nevada,HACK,BSR,0,0,Some guests and employees were affected by a breach or breaches that occurred between June 2010 and October 2010.  Credit and debit card information was stolen and misused.  The method that criminals used to access the information was not disclosed.UPDATE (11/30/10): Other hotels owned by Desert's parent company Shell Vacation Resorts may have been affected.UPDATE (12/22/10): A notice on Shell's website states that the breach occurred because of a malicious software infection.  It was determined that the management system software program of Shell Vacation properties was infected with the malware.,Security Breach Letter
November,2009,Farmers Insurance,Nashville, Tennessee,HACK,BSF,0,0,"A former insurance agent noticed that it was possible to extract client information from the website.  The information included insurance policies, Social Security numbers, names and addresses. The former agent's home was searched by police when it was discovered that client information had been hacked.",Databreaches.net
December,2010,Sovereign Bank,Wyomissing, Pennsylvania,HACK,BSF,0,0,"The Bank became aware of suspicious online activity on October 15.  On December 15, it was determined that a key logger had been installed on a company laptop.  Customer names, Social Security numbers and addresses may have been accessed by unauthorized parties. At least 2 New Hampshire residents were affected, but the total number of affected individuals nationwide was not revealed.",Databreaches.net
January,2011,Half Hitch Tackle,Panama City, Florida,HACK,BSR,0,0,A breach of the systems security resulted in the exposure of customer credit and debit cards.  It is possible that the breach originated overseas.  ,Databreaches.net
December,2007,Robotic Industries Association,Ann Arbor, Michigan,HACK,BSR,"1,500","1,500",Sensitive customer information was accessed by a hacker on or around December 10.  The hacker gained access to the administration site by using a password-cracking program or guessing the password.  The hacker then had access to customer orders and credit card information.,Dataloss DB
December,2007,"S&K Famous Brands, Inc.",Richmond, Virginia,HACK,BSR,0,0,"On October 24, S&K was notified of a suspicious email addressed to customers.  It was determined that the email had been sent from a fictitious S&K email address and was a phishing attempt.  The email contained a real or fictitious S&K order number and the last four digits of the credit card number used by the customer to whom it was addressed.  The email requested that the customer provide a credit card identification number.  The online store was disconnected and remote access to S&K's network was disabled within 30 minutes of the discovery.  Customers of S&K Menswear may have had their names, addresses, credit card numbers and expiration dates may have been accessed.",Dataloss DB
December,2007,"Jackson National Life Insurance Company, INVEST Financial Corporation",Lansing, Michigan,HACK,BSF,0,0,"Jackson discovered a breach that allowed access to client information through the Internet-based trading program Streetscape.  The incident involved the unauthorized use of a password.  Client INVEST accounts and balances, names, Social Security numbers, tax ID numbers, addresses and dates of birth were accessed.",Dataloss DB
January,2008,"Kiwanis International, On-Net Services",Indianapolis, Indiana,HACK,NGO,"18,432","18,432","On January 4, Kiwanis learned of an unauthorized intrusion into its Kiwanis Family Store Website and database that occurred sometime between December 1 of 2007 and January 4 of 2008.  The unauthorized person or persons illegally accessed information by running a SQL injection program that gathered names, credit card numbers, expiration dates and billing/shipping addresses of individuals who had purchased items from the Kiwanis Family Store.",Dataloss DB
January,2011,Private Dental Practice,Germantown, Maryland,HACK,MED,"1,000","1,000","The office discovered a hacking incident after the computer system shut down on October 14.  A hacker accessed the computer system and server. Patient names, Social Security numbers, addresses, dates of birth, dental care and X-ray records, dental insurance member numbers and health insurance member numbers may have been exposed.",HHS via PHIPrivacy.net
January,2011,"Osceola Medical Center, Hils Transcription Service",Osceola, Wisconsin,HACK,MED,500 (No SSNs or financial information reported),0,The November 25 hack of a Hils Transcription server exposed the health information of 500 patients.,HHS via PHIPrivacy.net
January,2011,Kadlec Regional Medical Center,Richland, Washington,HACK,MED,0,0,"A computer server that contained brain scan and other patient studies was hacked sometime around September 15.  Patient names, dates of birth, ages, genders, medical record numbers and doctors' names were exposed.  The breach was discovered on November 11 during routine monitoring of computer network backups. The server was removed from service and a firm was hired to investigate the issue.",PHIPrivacy.net
January,2011,Omaha School Employees Retirement System ,Omaha , Nebraska,HACK,EDU,"4,300","4,300","A breach of Omaha School Employees Retirement System's website was discovered on December 21. The incident occurred because of an attempt to access administrator log-in information.   The hacker or hackers may have obtained a database with names, Social Security numbers, dates of birth, years of service and beneficiary information of current and former Omaha Public Schools employees.  The website was shut down within two hours of the discovery.",Databreaches.net
January,2011,Pentagon Federal Credit Union (PenFed),Alexandria, Virginia,HACK,BSF,514,514,"On December 12, a laptop was found to be infected with malware.  PenFed current and former employees, beneficiaries, current and former members and joint owners may have had their names, Social Security numbers, addresses, credit and debit card numbers, and PenFed account numbers exposed. At least 514 New Hampshire residents were affected, but the total number of affected individuals nationwide was not reported.UPDATE (1/18/11): The breach affected 674 New Hampshire residents and an unknown number of people nationwide.",Databreaches.net
January,2011,MIchael's Rock Hill Grille,Rock Hill, South Carolina,HACK,BSR,30,30,"Michael's appears to be the common thread in a number of credit card fraud cases in the Southeast.  It is believed that someone accessed credit card information by using malware on or obtaining passwords for the system on which the information was stored.  The group of affected people most likely includes customers who used their card between September 16 and early December. Many of the cases involved Florida residents, but people in Texas, Kentucky, Tennessee, Georgia and Washington were also affected.",Databreaches.net
January,2008,SAIC            ,Mclean, Virginia,HACK,BSO,0,0,"Malicious software was discovered on a computer used to collect customer information.  The information included name, billing and shipping address, phone and fax number, credit card number and security code.",Dataloss DB
December,2010,American Honda Motor Company,Torrance, California,HACK,BSR,4.9 million (No SSNs or financial information reported),0,"A Honda vendor maintaining a customer mailing list for My Acura and Honda's Owner Link websites was hacked.  Names, email addresses, vehicle identification numbers and user IDs may have been exposed.  There is speculation that this breach is connected to a hack of Silverpop that exposed the information of McDonald's and deviantART subscribers.UPDATE (1/24/11): Around 2.2 million Honda customers had their information exposed. Around 2.7 million Acura customers had their email addresses exposed, but names and other information were not breached.",Databreaches.net
January,2011,"Hamilton Beach Brands, Inc.",Glen Allen, Virginia,HACK,BSR,0,0,"Hacker code was discovered on a server that hosts www.hamiltonbeach.com and www.proctorsilex.com.  The server was breached on or around January 5.  Customer names, credit card information, addresses, telephone numbers and email addresses were captured. The captured information was sent to hmtbccv@gmail.com and prosilexccv@gmail.com",Databreaches.net
January,2011,J. Press,New Haven, Connecticut,HACK,BSR,0,0,"An unauthorized party gained access to records of customer online orders placed between January 5 and January 10.  Customer names, credit card information, order information and addresses may have been exposed.  The website was temporarily shut down after J. Press learned of the breach.",Databreaches.net
January,2011,Seacoast Radiology,Rochester, New Hampshire,HACK,MED,"231,400","231,400","On November 12, Seacoast discovered that a server had been breached.  Patient names, Social Security numbers, addresses, phone numbers and other personal information may have been exposed by the breach.  Credit card and other financial information were not exposed.  The estimated number of individuals who received notification is 231,400.  Not all people who received a notification letter were affected.  Patients and people serving as insurance guarantors were affected.  It is believed that the hackers were utilizing Seacoast's bandwidth to play a popular game called Call of Duty: Black Ops.",PHIPrivacy.net
January,2011,"Ankle and Foot Center of Tampa Bay, Inc.",Tampa Bay, Florida,HACK,MED,"156,000 (No SSNs or financial information reported)","156,000","The Center experienced a hacking or IT incident on or around November 10 of 2010.  The protected health information of patients was exposed.UPDATE (2/3/2011): Names, Social Security numbers, dates of birth, home addresses, account numbers, and health care services and related diagnostic codes may have also been exposed.",HHS via PHIPrivacy.net
February,2011,Texas Children's Hospital,Houston, Texas,HACK,MED,0,0,"On December 29, the Harris County District Attorney's Office notified Texas Children's Hospital that its Accounts Payable system may have been breached.  Vendors and employees who received checks between 1999 and 2011 may have had their names and Social Security numbers accessed by an unauthorized third party.  The information seems to have been used to open electricity accounts.",Databreaches.net
January,2011,Five County Credit Union,Bath, Maine,HACK,BSF,0,0,"Five County decided to send 3,000 credit and debit cards to customers after discovering a breach that affected a third party.  Some customers noticed suspicious transactions on their debit cards.  About 2,500 debit cards were reissued and 500 Visa credit cards were reissued.  The organization that experienced the breach and the number of customers affected were not reported.",Databreaches.net
February,2011,"Twitter, Facebook and PayPal",Rapides Parish, Louisiana,HACK,BSO,0,0,"A 17-year old hacker was charged with various computer crimes.  He somehow managed to access the Twitter, Facebook, PayPal and email accounts of multiple celebrities and other people.  The teen was charged with cyberstalking, computer fraud, computer tampering and extortion. ",Databreaches.net
December,2009,North Carolina Libraries,Raleigh, North Carolina,HACK,EDU,"51,000","51,000","Library users at 25 campuses were the victims of a security breach in August. The libraries collect driver's license and Social Security numbers to help identify computer users. The information is stored on a central server in Raleigh. Other campuses affected are Alamance, Beaufort, Bladen, Blue Ridge, Brunswick, Central Carolina, College of the Albemarle, Gaston, Halifax, Haywood, Lenoir, Martin, Nash, Pamlico, Piedmont, Richmond, Roanoke-Chowan, Rowan-Cabarrus, Sandhills, Southwestern, Tri-County, Vance Granville and Wilson. ",Dataloss DB
February,2011,HBGary Federal,Sacramento, California,HACK,BSO,"60,000 business emails (No SSNs or financial information reported)",0,"HBGary announced that it had information about the Anonymous hackers collective.  Anonymous supporters hacked into HBGary's network in order to learn what information had been gathered during the investigation.  Over 60,000 business emails were extracted and the company's website was defaced.  HBGary's leader also had his Twitter account hacked and his personal information exposed.  Anonymous supporters claim the attack was to prevent HBGary from selling trivial information to the FBI.  The hackers published a 23-page document online and claimed that it was the information HBGary was going to sell.  HBGary's email database was also published.  Sensitive information about customers may have been exposed.",Databreaches.net
July,2009,Elance,Mountain View, California,HACK,BSO,0,0,"A warning from Elance's customer 
            service was emailed, saying that the site has been hacked or attacked 
            in some way. The data accessed was contact information  -  specifically 
            name, email address, telephone number, city location and Elance username. 
            This incident did not involve any credit card, bank account, social 
            security or tax ID numbers.",Media
January,2011,South Carolina State Budget and Control Board Employee Insurance Program,Columbia, South Carolina,HACK,GOV,"5,600","5,600","People who are covered by South Carolina's state insurance program may have had their personal information obtained.  A virus affected one of the Insurance Program's computers.  The breach occurred sometime between November 8 and November 18.  Insured current and former employees, dependents and survivors may have had their names, Social Security numbers, health information, addresses and dates of birth exposed.",Databreaches.net
February,2011,Day's Jewelers,Waterville, Maine,HACK,BSR,0,0,"A number of Maine residents have experienced credit, bank account and credit union fraud after shopping at Day's Jewelers.  An investigation has revealed that a hacking incident caused the breach and the approximate time of the breach.",Databreaches.net
February,2011,Snow Creek,Weston, Missouri,HACK,BSO,0,0,It appears that a hacker was able to obtain unencrypted customer credit card information around Friday February 18.  Online customers of the ski resort were not affected.  Information from electronic card transactions that were performed on-site was exposed.,Databreaches.net
December,2010,Ohio State University,Columbus, Ohio,HACK,EDU,"750,000 (0 numbers of SSNs and financial information)","750,000","Students, professors and other University affiliates were notified that their information may have been accessed by a hacker.  University officials discovered the breach in late October.  Unauthorized individuals logged into an Ohio State server and had access to names, Social Security numbers, dates of birth and addresses of current and former students, faculty, staff, University consultants and University contractors.UPDATE (1/14/11): 517,729 former students and 65,663 current students were affected.  Exact numbers for current and former faculty, staff, consultants and contractors were not given.UPDATE (2/22/2011): As of February 22, OSU was still attempting to find and inform affected individuals of the breach.  Around 226,000 notification letters were mailed to alumni in February.",Databreaches.net
February,2011,Winamp,New York, New York,HACK,BSO,0,0,"Hackers were able to access forum information, user accounts and emails.  The attack is believed to have been limited to the Winamp forums.  All users are advised to change their Winamp passwords and any similar passwords for other accounts.",Databreaches.net
March,2011,Se San Diego Hotel,San Diego, California,HACK,BSO,0,0,Malicious software was uploaded to the Hotel's computer system sometime around September of 2010.  Customer credit card information was obtained and sold to a group of seven people who used  the information to make fraudulent charges primarily in Central Florida.,Databreaches.net
March,2011,"University of Massachusetts Amherst, University Health Services",Amherst, Massachusetts,HACK,EDU,0,0,"A workstation at the campus University Health Services (UHS) was infected with malware.  The work station contained patient names, health insurance company names, medical record numbers, and prescription information from January 2, 2009 to November 17, 2009.  There is no evidence that the data was copied from the workstation.  The malware was on the computer from June 30, 2010 to October 28, 2010.  Patients were notified in March.",PHIPrivacy.net
March,2011,St. Louis University,St. Louis, Missouri,HACK,EDU,"12,800","12,000","The University's network was hacked on December 12, 2010.  The breach was discovered on December 13 and a statement was available on the University's website on January 31, 2011. Eight hundred students and 12,000 current and former employees and contractors were affected.  Only people who worked for Saint Louis University at some point had their Social Security numbers exposed.  Some students who received counseling through the University's Student Health Services may have had their names, dates of birth, tests, diagnosis and treatment information exposed.",PHIPrivacy.net
July,2009,Carrell Clinic,Dallas, Texas,HACK,MED,0,0,"An Arlington security guard was arrested 
          on federal charges for hacking into hospital's computer system. The defendant allegedly posted video of himself compromising a hospital's computer system on YouTube. The system and computers contained confidential 
          patient information.UPDATE (3/18/2011): Phiprivacy.net reports that the former security guard was sentenced to nine years in prison for installing malware.  Jesse William McGraw was employed by the security company United Protection Service while working as a security guard for Carrell Clinic. He was also the leader of a hacker gang.",Media
March,2011,Walnut Township School District,Millersport, Ohio,HACK,GOV,80,80,"A hacker accessed the District's payroll records sometime between March 14 and March 15.  Names, Social Security numbers, and other information found on payroll records may have been exposed.  The breach affected 2008 school personnel.",Databreaches.net
March,2011,Virginia Polytechnic Institute and State University (Virginia Tech),Blacksburg, Virginia,HACK,EDU,370,370,A virus infected a Virginia Tech computer on February 15 and sent Social Security numbers and some financial information overseas.  The virus was discovered on February 23.  Certain current and former employees were affected.,Databreaches.net
March,2011,TripAdvisor,Newton, Massachusetts,HACK,BSO,0,0,TripAdvisor community members received notification that an unauthorized third party had obtained a list of user emails.  Passwords and financial information were not exposed.  Only a portion of users were affected and TripAdvisor is not sure when the breach occurred.  TripAdvisor.com is the world's largest travel related site.,Media
March,2011,The Briar Group LLC,Boston, Massachusetts,HACK,BSR,0,0,"A series of breaches at Briar Group restaurants dating back to 2009 led the company to pay $110,000 in civil penalties to the Commonwealth of Massachusetts.  Briar Group was fined for failing to protect the payment card data of tens of thousands of consumers. In addition to having poor data protection practices like allowing employees to share computer passwords and failing to secure network wireless connections, Briar Group was determined to have not responded appropriately when customer data was compromised.  A lawsuit alleges that hackers installed and used malicious software to obtain customer debit and credit card information from the Briar Group's computers.  The malicious software was on the computers from April 2009 to December of 2009 and the company continued to allow the use of credit and debit cards despite being aware that their computer system had been compromised.  The Briar Group agreed to comply with Massachusetts data security regulations, comply with the Payment Card Industry Data Security Standards, develop a secure password management system and implement information security measures.",Databreaches.net
March,2011,Portland Center for the Performing Arts (PCPA),Portland, Oregon,HACK,BSO,864,864,"The PCPA website was hacked sometime between December 20, 2010 and March 15, 2011.  Ticket purchases for PCPA events were not involved since the Ticketmaster website is responsible for those purchases.  Information from a total of 864 gift card purchases from the PCPA website between January 1, 2006 and March 15, 2011 was compromised.  The total number of customers affected is likely to be lower than 864 since some customers purchased more than one gift card.",Databreaches.net
March,2011,University of South Carolina,Sumter, South Carolina,HACK,EDU,"31,000","31,000","A computer security problem may have exposed the information of faculty, staff, retirees and students on eight University system campuses.  Social Security numbers and other private information could end up on the internet.",Databreaches.net
April,2011,iTunes (Apple),Cupertino, California,HACK,BSR,0,0,"Following a wave of iTunes fraud in 2010, iTunes users are experiencing another wave of hackers using their accounts to make fraudulent purchases.  The hackers purchase music, gift cards, games, ringtones, and apps by accessing customer credit card information and modifying billing addresses.  Some of these incidents result in hundreds of dollars of fraudulent purchases. Apple has yet to comment on the situation.",Databreaches.net
April,2011,Hartford Life Insurance Company,Hartford, Connecticut,HACK,BSF,300,300,"People who logged into Hartford's server between February 22 and February 28 are being notified of a possible breach.  The firm's Windows servers were hacked and employee, contractor and some customer information may have been exposed by the breach.  Social Security numbers, user account logins and passwords, bank account numbers and credit card numbers may have been exposed.",Databreaches.net
